epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,50.527,0.47148,0.99161,1,0.06663,0.000549938,0.000549938,0.000549938
2,101.952,0.25181,0.97203,1,0.07287,0.00099615,0.00099615,0.00099615
3,155.257,0.17614,0.9972,1,0.02202,0.00133234,0.00133234,0.00133234
4,199.564,0.15099,0.99301,1,0.02591,0.0011719,0.0011719,0.0011719
5,385.787,0.12266,0.99161,1,0.02386,0.00100687,0.00100687,0.00100687
6,558.092,0.13292,0.96084,1,0.11389,0.000841835,0.000841835,0.000841835
7,592.206,0.12234,0.99301,1,0.02411,0.000676802,0.000676802,0.000676802
8,630.853,0.08097,0.9958,1,0.02118,0.000511769,0.000511769,0.000511769
9,672.92,0.08255,0.9958,1,0.02298,0.000346736,0.000346736,0.000346736
10,729.274,0.06518,0.9958,1,0.02037,0.000181703,0.000181703,0.000181703
